wanted,position,positionid,from,start,end
Q737463,Deputy Prime Minister,Q14805701,Q16186988,2020-01-21,2022-07-15
Q1990761,"Minister of Digital Development, Communications and Mass Media",Q107883554,Q53843880,2018-05-18,2020-01-15
Q4362189,Ambassador to Ireland,Q111495523,Q18741066,2017-07-26,
Q982461,Deputy Kremlin Chief of Staff,Q4185697,Q313915,2016-10-05,
Q1781687,Governor of Kaliningrad Oblast,Q16839806,Q26180846,2016-07-28,2016-10-06
Q2587409,Governor of Tula Oblast,Q24932734,Q2425119,2016-02-02,
Q1979193,Governor of Krasnodar Krai,Q5589671,Q19908443,2015-04-22,
Q1378384,Head of the Udmurt Republic,Q16911974,Q16699412,2014-09-22,2017-04-04
Q548164,First Deputy Prime Minister,Q1965788,Q2272602,2013-05-22,2021-01-26
Q4404902,Ambassador to the Holy See,Q27148711,Q928083,2013-01-11,
Q260432,Minister of Labour and Social Protection,Q107710314,Q4460667,2012-05-21,2020-01-15
Q982461,Deputy Kremlin Chief of Staff,Q4185697,Q4150188,2012-05-21,
Q737860,Plenipotentiary Representative of the President in a Federal District,Q4370371,Q16941911,2012-05-12,2016-06-28
Q23530,Supreme Commander-in-Chief of the Armed Forces,Q4109060,Q7747,2012-05-07,
Q4408400,Governor of the City of Sevastopol,Q16267964,Q4539828,2011-06-07,2014-03-07
Q4153801,Head of Chelyabinsk,Q4139088,Q4305252,2010-06-04,2015-07-28
Q1192630,President of the Sakha Republic,Q4139090,Q1998892,2010-05-31,2018-05-28
Q928083,Ambassador to Monaco,Q27148451,Q4336598,2008-12-01,
Q23530,Deputy Prime Minister,Q14805701,Q147425,2008-05-12,2012-05-07
Q4061603,Ambassador to Serbia,Q112658949,Q1568119,2008-03-27,2012-09-26
Q4438996,Mayor of Cherepovets,Q18086761,Q4230285,2007-03-11,2011-12-14
Q4157965,Permanent Representative to the United Nations,Q4374313,Q1394102,2006-05-01,2017-02-20
Q4247257,Prime Minister of Crimea,Q2387033,Q4284677,2005-04-20,2005-09-21
Q2636066,Minister of Science and Higher Education,Q107688573,Q501649,2004-03-09,2012-05-21
Q501649,Minister of Industry and Trade,Q107710318,Q317667,2004-03-09,2012-01-31
Q18747636,Ambassador to North Korea,Q28038709,Q15068349,2001-07-09,2006-12-20
Q4396843,Governor of Tyumen Oblast,Q4151344,Q319497,2001-01-26,2005-11-14
Q4197788,Governor of Perm Krai,Q4151341,Q1320356,2000-12-14,2004-03-11
Q4464240,Director of the Foreign Intelligence Service,Q19891837,Q36150,2000-05-20,2007-10-05
Q367029,Prosecutor-General,Q1970542,Q1138430,2000-05-17,2006-06-02
Q34453,President,Q218295,Q7747,2000-05-07,2008-05-07
Q4074412,member of the State Duma,Q17276321,Q171428,2000-01-10,2000-12-17
