ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q12358770,Alexander Kerensky government,1917-09-14,11,,,1917-10-29,11,,,Q640506,cabinet,,,,,,,,,,
,Q4375951,Cabinet of Boris Yeltsin and Yegor Gaidar,1991-11-06,11,,,1992-12-23,11,,,Q1140115,Government of Russia,,,,,Q4349230,Viktor Chernomyrdin's First Cabinet,,,Q4349230,Viktor Chernomyrdin's First Cabinet
,Q4349230,Viktor Chernomyrdin's First Cabinet,1992-12-23,11,,,1996-08-09,11,,,Q1140115,Government of Russia,,,Q4375951,Cabinet of Boris Yeltsin and Yegor Gaidar,Q4128019,Viktor Chernomyrdin's Second Cabinet,Q4375951,Cabinet of Boris Yeltsin and Yegor Gaidar,Q4128019,Viktor Chernomyrdin's Second Cabinet
,Q4128019,Viktor Chernomyrdin's Second Cabinet,1996-08-10,11,,,1998-03-23,11,,,Q1140115,Government of Russia,,,Q4349230,Viktor Chernomyrdin's First Cabinet,Q4375964,Sergei Kiriyenko's Cabinet,Q4349230,Viktor Chernomyrdin's First Cabinet,Q4375964,Sergei Kiriyenko's Cabinet
,Q4375964,Sergei Kiriyenko's Cabinet,1998-04-24,11,,,1998-08-23,11,,,Q1140115,Government of Russia,,,Q4128019,Viktor Chernomyrdin's Second Cabinet,Q4375982,Yevgeny Primakov's Cabinet,Q4128019,Viktor Chernomyrdin's Second Cabinet,Q4375982,Yevgeny Primakov's Cabinet
,Q4375982,Yevgeny Primakov's Cabinet,1998-09-11,11,,,1999-05-12,11,,,Q1140115,Government of Russia,,,Q4375964,Sergei Kiriyenko's Cabinet,Q4376000,Sergei Stepashin's Cabinet,Q4375964,Sergei Kiriyenko's Cabinet,Q4376000,Sergei Stepashin's Cabinet
,Q4376000,Sergei Stepashin's Cabinet,1999-05-19,11,,,1999-08-09,11,,,Q1140115,Government of Russia,,,Q4375982,Yevgeny Primakov's Cabinet,Q4349227,Vladimir Putin's First Cabinet,Q4375982,Yevgeny Primakov's Cabinet,Q4349227,Vladimir Putin's First Cabinet
,Q4349227,Vladimir Putin's First Cabinet,1999-08-16,11,,,2000-05-07,11,,,Q1140115,Government of Russia,,,Q4376000,Sergei Stepashin's Cabinet,Q4375965,Mikhail Kasyanov's Cabinet,Q4376000,Sergei Stepashin's Cabinet,Q4375965,Mikhail Kasyanov's Cabinet
,Q4375965,Mikhail Kasyanov's Cabinet,2000-05-17,11,,,2004-02-24,11,,,Q1140115,Government of Russia,,,Q4349227,Vladimir Putin's First Cabinet,Q1993506,Mikhail Fradkov's First Cabinet,Q4349227,Vladimir Putin's First Cabinet,Q1993506,Mikhail Fradkov's First Cabinet
,Q1993506,Mikhail Fradkov's First Cabinet,2004-03-05,11,,,2004-05-07,11,,,Q1140115,Government of Russia,,,Q4375965,Mikhail Kasyanov's Cabinet,Q1993514,Mikhail Fradkov's Second Cabinet,Q4375965,Mikhail Kasyanov's Cabinet,Q1993514,Mikhail Fradkov's Second Cabinet
,Q1993514,Mikhail Fradkov's Second Cabinet,2004-05-12,11,,,2007-09-13,11,,,Q1140115,Government of Russia,,,Q1993506,Mikhail Fradkov's First Cabinet,Q4375956,Viktor Zubkov's Cabinet,Q1993506,Mikhail Fradkov's First Cabinet,Q4375956,Viktor Zubkov's Cabinet
,Q4375956,Viktor Zubkov's Cabinet,2007-09-14,11,,,2008-05-07,11,,,Q1140115,Government of Russia,,,,,,,Q1993514,Mikhail Fradkov's Second Cabinet,Q2458166,Vladimir Putin's Second Cabinet
,Q2458166,Vladimir Putin's Second Cabinet,2008-05-08,11,,,2012-05-07,11,,,Q1140115,Government of Russia,,,,,Q2348089,Dmitry Medvedev's Cabinet,Q4375956,Viktor Zubkov's Cabinet,Q2348089,Dmitry Medvedev's Cabinet
,Q2348089,Dmitry Medvedev's Cabinet,2012-05-21,11,2012-05-08,11,2018-05-07,11,,,Q1140115,Government of Russia,,,Q2458166,Vladimir Putin's Second Cabinet,Q52788508,Dmitry Medvedev's Second Cabinet,Q2458166,Vladimir Putin's Second Cabinet,Q52788508,Dmitry Medvedev's Second Cabinet
,Q52788508,Dmitry Medvedev's Second Cabinet,2018-05-18,11,2018-05-08,11,2020-01-15,11,2020-01-15,11,Q1140115,Government of Russia,,,Q2348089,Dmitry Medvedev's Cabinet,Q82455849,Mikhail Mishustin's Cabinet,Q2348089,Dmitry Medvedev's Cabinet,Q82455849,Mikhail Mishustin's Cabinet
,Q82455849,Mikhail Mishustin's Cabinet,2020-01-21,11,2020-01-21,11,,,,,Q1140115,Government of Russia,,,Q52788508,Dmitry Medvedev's Second Cabinet,,,Q52788508,Dmitry Medvedev's Second Cabinet,,
