position,title
Q4488944,Chief of Staff of the Presidential Executive Office
Q5589626,Governor of Amur Oblast
Q4151330,Governor of Arkhangelsk Oblast
Q16839806,Governor of Kaliningrad Oblast
Q5589671,Governor of Krasnodar Krai
Q24933296,Governor of the Krasnoyarsk Territory
Q4151336,Governor of Nizhny Novgorod Oblast
Q4151339,governor of Moscow Oblast
Q18406182,Governor of Tver Oblast
Q4151344,Governor of Tyumen Oblast
Q2344821,Head of the Respublic of Dagestan
Q106303336,Ambassador to Angola
Q47542485,Ambassador to Austria
Q28221769,Ambassador to Belgium
Q108940831,Ambassador to Bolivia
Q27148679,Ambassador to Bulgaria
Q57198836,Ambassador to Cambodia
Q106452767,Ambassador to Cameroon
Q28808567,Ambassador to Canada
Q108940808,Ambassador to Estonia
Q19401847,Ambassador to France
Q28796205,Ambassador to Germany
Q106438354,Ambassador to Guinea-Bissau
Q72546527,Ambassador to Hungary
Q110636115,Ambassador to Israel
Q105139131,Ambassador to Kyrgyzstan
Q108717978,Ambassador to Latvia
Q105139216,Ambassador to Mozambique
Q27148451,Ambassador to Monaco
Q16158136,Ambassador to New Zealand
Q28038709,Ambassador to North Korea
Q29419676,Ambassador to Poland
Q108419342,Ambassador to Romania
Q105043910,Ambassador to Rwanda
Q110628411,Ambassador to Spain
Q16700986,Ambassador to Sudan
Q28036318,Ambassador to Turkey
Q27148711,Ambassador to the Holy See
Q99939451,Ambassador to Iran
Q72365397,Ambassador to the United Kingdom
Q30160686,Ambassador to the United States
